word,label,source,label_conflict
miss,feminine,EIGE Toolkit on Gender-sensitive Communication (2019),no
mistress,feminine,Gender-Fair Language Primer — Kintanar (1998),no
modesty,feminine,"Gaucher, Friesen & Kay (2011)",no
monday to friday,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
mother tongue,feminine,EIGE Toolkit on Gender-sensitive Communication (2019),no
motherly care,feminine,BUCGAD Feedback | Gender-Fair Language Primer – Kintanar (1998),no
motivated,neutral,LinkedIn Talent Solutions / Cpl HR,yes
mr.,masculine,BUCGAD Feedback | EIGE Toolkit on Gender-sensitive Communication (2019),no
mrs.,feminine,BUCGAD Feedback | EIGE Toolkit on Gender-sensitive Communication (2019),no
ms.,neutral,BUCGAD Feedback | EIGE Toolkit on Gender-sensitive Communication (2019),no
multisite,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
multitask,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
mumsy,feminine,EIGE Toolkit on Gender-sensitive Communication (2019),no
mx.,neutral,BUCGAD Feedback | EIGE Toolkit on Gender-sensitive Communication (2019),no
nag,feminine,"Gaucher, Friesen & Kay (2011)",no
natal sex,feminine,MCWC Accessible Gender and Sexual Orientation Inclusive Language,no
negotiating,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
nephew,masculine,BUCGAD Feedback | Gender-Fair Language Primer – Kintanar (1998),no
news anchor,neutral,Boston University Inclusive Language Editorial Style Guide,no
niblings,neutral,BUCGAD Feedback | MCWC Accessible Gender and Sexual Orientation Inclusive Language,no
niece,feminine,BUCGAD Feedback | Gender-Fair Language Primer – Kintanar (1998),no
night shifts,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
ninja,masculine,LinkedIn Talent Solutions / Cpl HR,no
nonbinary,neutral,MCWC Accessible Gender and Sexual Orientation Inclusive Language,no
nonprofessional,neutral,Gender-Fair Language Primer — Kintanar (1998),no
nonspecialist,neutral,Gender-Fair Language Primer — Kintanar (1998),no
nosy,feminine,Gender-Fair Language Primer — Kintanar (1998),no
numerate,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
nurse,neutral,Gender-Fair Language Primer — Kintanar (1998),no
nurturing,feminine,"Gaucher, Friesen & Kay (2011)",yes
objectification,feminine,"The Gender Dictionary – English Version (UNDP WACA, 2024)",no
objective,neutral,BIAS Word Inventory — Konnikov et al. (2022),yes
occupational segregation,feminine,"The Gender Dictionary – English Version (UNDP WACA, 2024)",no
old maid,feminine,Gender-Fair Language Primer — Kintanar (1998),no
old masters,masculine,Gender-Fair Language Primer — Kintanar (1998),no
on-site visits,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
one man show,masculine,Gender-Fair Language Primer — Kintanar (1998),no
open,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
opinion,masculine,"Gaucher, Friesen & Kay (2011)",no
opposite gender,masculine,MCWC Accessible Gender and Sexual Orientation Inclusive Language,no
opposite sex,masculine,MCWC Accessible Gender and Sexual Orientation Inclusive Language,no
ordinary person,neutral,Gender-Fair Language Primer — Kintanar (1998),no
organizational,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
organized,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
outgoing,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
outraged,masculine,Gender-Fair Language Primer — Kintanar (1998),no
outspoken,masculine,"Gaucher, Friesen & Kay (2011)",no
outstanding,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
overtime,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
pansexual,neutral,MCWC Accessible Gender and Sexual Orientation Inclusive Language,no
parental leave,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
part time,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
passion,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
paternity leave,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
patient,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
patriarchy,masculine,"The Gender Dictionary – English Version (UNDP WACA, 2024)",no
patron,neutral,EIGE Toolkit on Gender-sensitive Communication (2019),no
pay gap,feminine,"The Gender Dictionary – English Version (UNDP WACA, 2024)",no
penetrate,masculine,Gender-Fair Language Primer — Kintanar (1998),no
people,neutral,Gender-Fair Language Primer — Kintanar (1998),no
people skills,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
permanent,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
perseverance,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
persistent,neutral,BIAS Word Inventory — Konnikov et al. (2022),yes
person-centered,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
personnel,neutral,Gender-Fair Language Primer — Kintanar (1998),no
persuasive,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
photographer,neutral,Gender-Fair Language Primer — Kintanar (1998),no
physical,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
piblings,neutral,BUCGAD Feedback | MCWC Accessible Gender and Sexual Orientation Inclusive Language,no
pink collar jobs,feminine,"The Gender Dictionary – English Version (UNDP WACA, 2024)",no
pink ghetto,feminine,"The Gender Dictionary – English Version (UNDP WACA, 2024)",no
pink tax,feminine,"The Gender Dictionary – English Version (UNDP WACA, 2024)",no
plain,feminine,Gender-Fair Language Primer — Kintanar (1998),no
planning,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
pleasant,feminine,"Gaucher, Friesen & Kay (2011)",no
poet,neutral,Gender-Fair Language Primer — Kintanar (1998),no
poetess,feminine,Gender-Fair Language Primer — Kintanar (1998),no
police officer,neutral,Gender-Fair Language Primer — Kintanar (1998),no
policeman,masculine,Gender-Fair Language Primer — Kintanar (1998),no
polite,feminine,"BIAS Word Inventory — Konnikov et al. (2022) | Gaucher, Friesen & Kay (2011)",no
political leader,neutral,Gender-Fair Language Primer — Kintanar (1998),no
positive masculinity,masculine,"The Gender Dictionary – English Version (UNDP WACA, 2024)",no
postman,masculine,EIGE Toolkit on Gender-sensitive Communication (2019),no
practical,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
pragmatic,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
preferred pronouns,feminine,MCWC Accessible Gender and Sexual Orientation Inclusive Language,no
press operator,neutral,Gender-Fair Language Primer — Kintanar (1998),no
pressmen,masculine,Gender-Fair Language Primer — Kintanar (1998),no
pressure,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
principle,masculine,"Gaucher, Friesen & Kay (2011)",no
proactive,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
problem solving,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
productive,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
professional,neutral,LinkedIn Talent Solutions,no
professionally,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
project manager,neutral,LinkedIn Talent Solutions,no
proprietor,neutral,Gender-Fair Language Primer — Kintanar (1998),no
proprietress,feminine,Gender-Fair Language Primer — Kintanar (1998),no
prostitute,neutral,Gender-Fair Language Primer — Kintanar (1998),no
pulling,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
punctual,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
pushing,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
pushy,feminine,EIGE Toolkit on Gender-sensitive Communication (2019),no
qualified,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
queer,neutral,MCWC Accessible Gender and Sexual Orientation Inclusive Language,no
quiet,feminine,"Gaucher, Friesen & Kay (2011)",no
reaching,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
reassuring,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
reckless,masculine,"Gaucher, Friesen & Kay (2011)",no
regular hours,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
reliable,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
relocation package,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
remote work,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
repairer,neutral,Gender-Fair Language Primer — Kintanar (1998),no
repairmen,masculine,Gender-Fair Language Primer — Kintanar (1998),no
repetitive,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
representative,neutral,Gender-Fair Language Primer — Kintanar (1998),no
resilient,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
resolve,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
resourcefulness,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
respect,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
respected,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
responsible,feminine,"Gaucher, Friesen & Kay (2011)",no
responsive,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
retailer,neutral,Gender-Fair Language Primer — Kintanar (1998),no
result-oriented,neutral,LinkedIn Talent Solutions / Cpl HR,no
rewarding,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
risk,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
rockstar,masculine,LinkedIn Talent Solutions / Cpl HR,no
rota schedule,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
safety precautions,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
sales agent,neutral,Gender-Fair Language Primer — Kintanar (1998),no
sales representative,neutral,Gender-Fair Language Primer — Kintanar (1998),no
salesgirls,feminine,Gender-Fair Language Primer — Kintanar (1998),no
salesman,masculine,Gender-Fair Language Primer — Kintanar (1998),no
salesperson,neutral,Gender-Fair Language Primer — Kintanar (1998),no
saleswomen,neutral,Gender-Fair Language Primer — Kintanar (1998),no
scatterbrained,feminine,Gender-Fair Language Primer — Kintanar (1998),no
scheme,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
second language,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
second shift,feminine,"The Gender Dictionary – English Version (UNDP WACA, 2024)",no
secretary,neutral,Gender-Fair Language Primer — Kintanar (1998),no
secure work,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
self-confident,masculine,"Gaucher, Friesen & Kay (2011)",no
self-driven,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
self-motivated,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
self-reliant,masculine,"Gaucher, Friesen & Kay (2011)",no
self-starter,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
self-sufficient,masculine,"Gaucher, Friesen & Kay (2011)",no
seminal,masculine,Gender-Fair Language Primer — Kintanar (1998),no
sensitive,feminine,"Gaucher, Friesen & Kay (2011)",no
serious,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
servants,feminine,Gender-Fair Language Primer — Kintanar (1998),no
server,neutral,UN Gender-Inclusive Guidelines,no
settlers,masculine,Gender-Fair Language Primer — Kintanar (1998),no
sex assigned at birth,neutral,MCWC Accessible Gender and Sexual Orientation Inclusive Language,no
sexual preference,neutral,MCWC Accessible Gender and Sexual Orientation Inclusive Language,no
she,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
shift,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
shrill,feminine,EIGE Toolkit on Gender-sensitive Communication (2019),no
sickness cover,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
silicon ceiling,feminine,"The Gender Dictionary – English Version (UNDP WACA, 2024)",no
single mother,feminine,BUCGAD Feedback | Gender-Fair Language Primer – Kintanar (1998),no
skillful,neutral,Gender-Fair Language Primer — Kintanar (1998),no
social skills,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
society,neutral,Gender-Fair Language Primer — Kintanar (1998),no
soft skills,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
solo exhibition,neutral,Gender-Fair Language Primer — Kintanar (1998),no
son preference,masculine,"The Gender Dictionary – English Version (UNDP WACA, 2024)",no
specialist,neutral,LinkedIn Talent Solutions,no
speed,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
spinster,feminine,Gender-Fair Language Primer — Kintanar (1998),no
spokesman,masculine,Gender-Fair Language Primer — Kintanar (1998),no
spokesperson,neutral,Gender-Fair Language Primer — Kintanar (1998),no
sports enthusiast,neutral,Gender-Fair Language Primer — Kintanar (1998),no
sportsmen,masculine,Gender-Fair Language Primer — Kintanar (1998),no
spouse,neutral,Gender-Fair Language Primer — Kintanar (1998),no
spouses,neutral,Gender-Fair Language Primer — Kintanar (1998),no
staff,neutral,Gender-Fair Language Primer — Kintanar (1998),no
staffing,neutral,Gender-Fair Language Primer — Kintanar (1998),no
stamina,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
standby,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
standing,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
starlets,feminine,Gender-Fair Language Primer — Kintanar (1998),no
statemanship,masculine,Gender-Fair Language Primer — Kintanar (1998),no
statesman,masculine,EIGE Toolkit on Gender-sensitive Communication (2019),no
statesmen,masculine,Gender-Fair Language Primer — Kintanar (1998),no
steward,masculine,EIGE Toolkit on Gender-sensitive Communication (2019),no
stewardess,feminine,EIGE Toolkit on Gender-sensitive Communication (2019),no
stoop,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
stress,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
strong,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
stubborn,masculine,"Gaucher, Friesen & Kay (2011)",no
submissive,feminine,"Gaucher, Friesen & Kay (2011)",no
suffragette,feminine,Gender-Fair Language Primer — Kintanar (1998),no
suffragist,neutral,Gender-Fair Language Primer — Kintanar (1998),no
sugar,feminine,Gender-Fair Language Primer — Kintanar (1998),no
superhero,masculine,LinkedIn Talent Solutions / Cpl HR,no
superior,masculine,"Gaucher, Friesen & Kay (2011)",no
supervisor,neutral,Gender-Fair Language Primer — Kintanar (1998),no
support,feminine,"Gaucher, Friesen & Kay (2011)",no
sympathetic,feminine,"Gaucher, Friesen & Kay (2011)",no
synthetic,neutral,UN Guidelines for gender-inclusive language in English,no
tactful,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
talented,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
teenage women,feminine,Gender-Fair Language Primer — Kintanar (1998),no
tenacious,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
tender,feminine,"Gaucher, Friesen & Kay (2011)",no
theirs,neutral,BUCGAD Feedback | EIGE Toolkit on Gender-sensitive Communication (2019),no
them,neutral,BUCGAD Feedback | EIGE Toolkit on Gender-sensitive Communication (2019),no
they,neutral,BUCGAD Feedback | EIGE Toolkit on Gender-sensitive Communication (2019),no
think outside the box,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
thoughtful,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
thrust,masculine,Gender-Fair Language Primer — Kintanar (1998),no
time management,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
timekeeping,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
timid,feminine,Gender-Fair Language Primer — Kintanar (1998),no
to a man,masculine,Gender-Fair Language Primer — Kintanar (1998),no
to heart,feminine,Boston University Inclusive Language Editorial Style Guide,no
to operate,neutral,Boston University Inclusive Language Editorial Style Guide,no
to run,neutral,Boston University Inclusive Language Editorial Style Guide,no
together,neutral,"Gaucher, Friesen & Kay (2011)",no
toxic masculinity,masculine,"The Gender Dictionary – English Version (UNDP WACA, 2024)",no
traditional midwife,neutral,Gender-Fair Language Primer — Kintanar (1998),no
trans men,masculine,MCWC Accessible Gender and Sexual Orientation Inclusive Language,no
trans women,feminine,MCWC Accessible Gender and Sexual Orientation Inclusive Language,no
transgender,neutral,MCWC Accessible Gender and Sexual Orientation Inclusive Language,no
transport,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
travel,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
trust,feminine,"Gaucher, Friesen & Kay (2011)",no
trustworthy,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
twisting,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
two-spirit,neutral,MCWC Accessible Gender and Sexual Orientation Inclusive Language,no
unanimously,neutral,Gender-Fair Language Primer — Kintanar (1998),no
uncle,masculine,BUCGAD Feedback | Gender-Fair Language Primer – Kintanar (1998),no
under-represented groups,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
understand,feminine,"Gaucher, Friesen & Kay (2011)",no
unmarried women,neutral,Gender-Fair Language Primer — Kintanar (1998),no
urgent,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
usher,neutral,Gender-Fair Language Primer — Kintanar (1998),no
usherette,feminine,Gender-Fair Language Primer — Kintanar (1998),no
vibrant,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
virile,masculine,EIGE Toolkit on Gender-sensitive Communication (2019),no
visible minorities,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
wage earners,neutral,Gender-Fair Language Primer — Kintanar (1998),no
wage gap,neutral,"The Gender Dictionary – English Version (UNDP WACA, 2024)",no
waiters assistant,neutral,Gender-Fair Language Primer — Kintanar (1998),no
waking nights,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
walking,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
warm,feminine,"Gaucher, Friesen & Kay (2011)",no
watchmen,masculine,Gender-Fair Language Primer — Kintanar (1998),no
weather reporter,neutral,Gender-Fair Language Primer — Kintanar (1998),no
weathercaster,neutral,Gender-Fair Language Primer — Kintanar (1998),no
weatherman,masculine,Gender-Fair Language Primer — Kintanar (1998),no
weight handling,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
welcome,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
whining,neutral,"Gaucher, Friesen & Kay (2011)",no
willing to travel,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
winning,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
woman writer,feminine,Gender-Fair Language Primer — Kintanar (1998),no
women,feminine,BIAS Word Inventory – Konnikov et al. (2022) | Gender-Fair Language Primer – Kintanar (1998),yes
women libbers,feminine,Gender-Fair Language Primer — Kintanar (1998),no
work life balance,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
workers,neutral,Gender-Fair Language Primer — Kintanar (1998),no
working men,masculine,Gender-Fair Language Primer — Kintanar (1998),no
working mothers,feminine,Gender-Fair Language Primer — Kintanar (1998),no
working wives,feminine,Gender-Fair Language Primer — Kintanar (1998),no
workmanship,masculine,EIGE Toolkit on Gender-sensitive Communication (2019),no
workmen,masculine,Gender-Fair Language Primer — Kintanar (1998),no
world-class,masculine,LinkedIn Talent Solutions / Cpl HR,no
writer,neutral,Gender-Fair Language Primer — Kintanar (1998),no
young girls,feminine,Gender-Fair Language Primer — Kintanar (1998),no
ze,neutral,EIGE Toolkit on Gender-sensitive Communication (2019),no
